ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-27,5872.426846375679,-357.9629709319682,11701.334373236936,5872.426846375679,5872.426846375679,-83.11677714841514,-83.11677714841514,-83.11677714841514,-83.11677714841514,-83.11677714841514,-83.11677714841514,0.0,0.0,0.0,5789.310069227264
2023-11-28,5872.058370286838,-1213.3152097291834,11339.349413668499,5872.058370286838,5872.058370286838,-604.2459510537327,-604.2459510537327,-604.2459510537327,-604.2459510537327,-604.2459510537327,-604.2459510537327,0.0,0.0,0.0,5267.812419233105
2023-11-29,5871.689894197996,-1035.9115302713174,11411.403651178041,5871.689894197996,5871.689894197996,-199.95111420873732,-199.95111420873732,-199.95111420873732,-199.95111420873732,-199.95111420873732,-199.95111420873732,0.0,0.0,0.0,5671.738779989259
2023-11-30,5871.321418109154,29.37209086917175,12464.47085872215,5871.321418109154,5871.321418109154,42.12684976926119,42.12684976926119,42.12684976926119,42.12684976926119,42.12684976926119,42.12684976926119,0.0,0.0,0.0,5913.448267878415
2023-12-01,5871.052019026375,35.443604532717174,12244.157254841744,5871.052019026375,5871.052019026375,147.32999896329105,147.32999896329105,147.32999896329105,147.32999896329105,147.32999896329105,147.32999896329105,0.0,0.0,0.0,6018.382017989667
2023-12-03,5870.5132208608175,160.61214292513276,12904.270671143458,5870.5132208608175,5870.5132208608175,642.0742215632823,642.0742215632823,642.0742215632823,642.0742215632823,642.0742215632823,642.0742215632823,0.0,0.0,0.0,6512.5874424241
2023-12-04,5870.243821778038,-601.4601427441942,11655.973236222806,5870.243821778038,5870.243821778038,-83.11677714975235,-83.11677714975235,-83.11677714975235,-83.11677714975235,-83.11677714975235,-83.11677714975235,0.0,0.0,0.0,5787.127044628286
2023-12-06,5869.70502361248,-952.3149524347951,11847.148112043773,5869.70502361248,5869.70502361248,-199.95111421060085,-199.95111421060085,-199.95111421060085,-199.95111421060085,-199.95111421060085,-199.95111421060085,0.0,0.0,0.0,5669.753909401878
2023-12-07,5869.4356245297,-152.6388624397332,12034.413109432982,5869.4356245297,5869.4356245297,42.126849768427014,42.126849768427014,42.126849768427014,42.126849768427014,42.126849768427014,42.126849768427014,0.0,0.0,0.0,5911.562474298127
2023-12-08,5869.166225446921,80.8373315181898,12127.17630549476,5869.166225446921,5869.166225446921,147.32999896327226,147.32999896327226,147.32999896327226,147.32999896327226,147.32999896327226,147.32999896327226,0.0,0.0,0.0,6016.4962244101935
2023-12-09,5868.896826364143,-116.38190203572448,12309.535189640428,5868.896826364143,5868.896826364143,55.78277211777541,55.78277211777541,55.78277211777541,55.78277211777541,55.78277211777541,55.78277211777541,0.0,0.0,0.0,5924.679598481918
2023-12-10,5868.6274272813625,-21.233208542742247,12697.674658534297,5868.6274272813625,5868.6274272813625,642.0742215631094,642.0742215631094,642.0742215631094,642.0742215631094,642.0742215631094,642.0742215631094,0.0,0.0,0.0,6510.7016488444715
2023-12-11,5868.358028198583,81.70819329156267,11699.375370861235,5868.358028198583,5868.358028198583,-83.1167771510895,-83.1167771510895,-83.1167771510895,-83.1167771510895,-83.1167771510895,-83.1167771510895,0.0,0.0,0.0,5785.241251047494
2023-12-12,5868.088629115805,-961.6231322407847,11144.601734719934,5868.088629115805,5868.088629115805,-604.2459510538907,-604.2459510538907,-604.2459510538907,-604.2459510538907,-604.2459510538907,-604.2459510538907,0.0,0.0,0.0,5263.842678061914
2023-12-13,5867.819230033026,-318.4922154678137,11603.14861627804,5867.819230033026,5867.819230033026,-199.95111420991492,-199.95111420991492,-199.95111420991492,-199.95111420991492,-199.95111420991492,-199.95111420991492,0.0,0.0,0.0,5667.868115823111
2023-12-16,5867.011032784688,-636.0480345017257,11926.6232549241,5867.011032784688,5867.011032784688,55.78277211815267,55.78277211815267,55.78277211815267,55.78277211815267,55.78277211815267,55.78277211815267,0.0,0.0,0.0,5922.793804902841
2023-12-17,5866.7416337019085,248.57993399876736,12896.530749202453,5866.7416337019085,5866.7416337019085,642.0742215631302,642.0742215631302,642.0742215631302,642.0742215631302,642.0742215631302,642.0742215631302,0.0,0.0,0.0,6508.815855265038
2023-12-18,5866.47223461913,-859.1138930881218,11759.993146674371,5866.47223461913,5866.47223461913,-83.11677715058329,-83.11677715058329,-83.11677715058329,-83.11677715058329,-83.11677715058329,-83.11677715058329,0.0,0.0,0.0,5783.355457468547
2023-12-19,5866.202835536351,-746.3603369273773,11650.59569900447,5866.202835536351,5866.202835536351,-604.245951055278,-604.245951055278,-604.245951055278,-604.245951055278,-604.245951055278,-604.245951055278,0.0,0.0,0.0,5261.956884481073
2023-12-20,5865.933436453572,-531.9145042491125,11911.661723207757,5865.933436453572,5865.933436453572,-199.95111421020866,-199.95111421020866,-199.95111421020866,-199.95111421020866,-199.95111421020866,-199.95111421020866,0.0,0.0,0.0,5665.982322243363
2023-12-21,5865.664037370792,59.211431106971744,12203.50043281877,5865.664037370792,5865.664037370792,42.12684976888941,42.12684976888941,42.12684976888941,42.12684976888941,42.12684976888941,42.12684976888941,0.0,0.0,0.0,5907.790887139682
